make,model,generation,year_begin,year_end
FORD,Explorer,5.5,2016,2017
FORD,Explorer,5.75,2018,2019
FORD,Explorer,6,2020,2023
FORD,F-350,1,1999,2004
FORD,F-350,1.5,2005,2007
FORD,F-350,2,2008,2010
FORD,F-350,3,2011,2016
FORD,F-350,4,2017,2019
FORD,F-350,4.5,2020,2022
FORD,F-150,6,1975,1979
FORD,F-150,7,1980,1986
FORD,F-150,8,1987,1991
FORD,F-150,9,1992,1996
FORD,F-150,10,1997,2003
FORD,F-150,11,2004,2005
FORD,F-150,11.5,2006,2008
FORD,F-150,12,2009,2012
FORD,F-150,12.5,2013,2014
FORD,F-150,13,2015,2017
FORD,F-150,13.5,2018,2020
FORD,F-150,14,2021,2023
FORD,E-150,1,1961,1967
FORD,E-150,2,1968,1974
FORD,E-150,3,1975,1991
FORD,E-150,4,1992,2007
FORD,E-150,4.5,2008,2014
FORD,E-250,1,1961,1967
FORD,E-250,2,1968,1974
FORD,E-250,3,1975,1991
FORD,E-250,4,1992,2007
FORD,E-250,4.5,2008,2014
FORD,Edge,1,2007,2010
FORD,Edge,1.5,2011,2014
FORD,Edge,2,2015,2018
FORD,Edge,2.5,2019,2023
FORD,Ranger,1,1983,1988
FORD,Ranger,1.5,1989,1992
FORD,Ranger,2,1993,1997
FORD,Ranger,3,1998,2000
FORD,Ranger,3.5,2001,2003
FORD,Ranger,3.75,2004,2005
FORD,Ranger,3.8,2006,2011
FORD,Ranger,4,2019,2023
FORD,Ranger,5,2024,2024
FORD,Transit,4,2015,2019
FORD,Transit,4.5,2020,2023
SUBARU,Impreza,1,1993,2001
SUBARU,Impreza,2,2002,2003
SUBARU,Impreza,2.5,2004,2005
SUBARU,Impreza,2.75,2006,2007
SUBARU,Impreza,3,2008,2011
SUBARU,Impreza,4,2012,2014
SUBARU,Impreza,4.5,2015,2016
SUBARU,Impreza,5,2017,2019
SUBARU,Impreza,5.5,2020,2023
SUBARU,Outback,1,1994,1997
SUBARU,Outback,1.5,1998,1999
SUBARU,Outback,2,2000,2002
SUBARU,Outback,2.5,2003,2004
SUBARU,Outback,3,2005,2007
SUBARU,Outback,3.5,2008,2009
SUBARU,Outback,4,2010,2012
SUBARU,Outback,4.5,2013,2014
SUBARU,Outback,5,2015,2017
SUBARU,Outback,5.5,2018,2019
SUBARU,Outback,6,2020,2022
SUBARU,Outback,6,2023,2023
SUBARU,Crosstrek,1,2013,2015
SUBARU,Crosstrek,1.5,2016,2017
SUBARU,Crosstrek,2,2018,2020
SUBARU,Crosstrek,2.5,2021,2023
SUBARU,Crosstrek,3,2024,2024
SUBARU,XV CrossTrek,1,2013,2015
SUBARU,WRX,1,2015,2017
SUBARU,WRX,1.5,2018,2021
SUBARU,WRX,2,2022,2023
SUBARU,Forester,1,1998,2000
SUBARU,Forester,1.5,2001,2002
SUBARU,Forester,2,2003,2005
SUBARU,Forester,2.5,2006,2008
SUBARU,Forester,3,2009,2010
SUBARU,Forester,3.5,2011,2013
SUBARU,Forester,4,2014,2016
SUBARU,Forester,4.5,2017,2018
SUBARU,Forester,5,2019,2021
SUBARU,Forester,5.5,2022,2023
SUBARU,Legacy,1,1990,1991
SUBARU,Legacy,1.5,1992,1993
SUBARU,Legacy,2,1994,1997
SUBARU,Legacy,2.5,1998,1999
SUBARU,Legacy,3,2000,2002
SUBARU,Legacy,3.5,2003,2004
SUBARU,Legacy,4,2005,2007
SUBARU,Legacy,4.5,2008,2009
SUBARU,Legacy,5,2010,2012
SUBARU,Legacy,5.5,2013,2014
SUBARU,Legacy,6,2015,2017
SUBARU,Legacy,6.5,2018,2019
SUBARU,Legacy,7,2020,2022
SUBARU,Legacy,7.5,2023,2023
SUBARU,Ascent,1,2019,2022
SUBARU,Ascent,1.5,2023,2023
HONDA,CR-V,1,1997,1999
HONDA,CR-V,1.5,2000,2001
HONDA,CR-V,2,2002,2004
HONDA,CR-V,2.5,2005,2006
HONDA,CR-V,3,2007,2009
HONDA,CR-V,3.5,2010,2011
HONDA,CR-V,4,2012,2014
HONDA,CR-V,4.5,2015,2016
HONDA,CR-V,5,2017,2019
HONDA,CR-V,5.5,2020,2022
HONDA,CR-V,6,2023,2023
NISSAN,Xterra,1,2000,2001
NISSAN,Xterra,1.5,2002,2004
NISSAN,Xterra,2,2005,2008
NISSAN,Xterra,2.5,2009,2015
INFINITI,FX35,1,2003,2005
INFINITI,FX35,1.5,2006,2008
INFINITI,FX35,2,2009,2011
INFINITI,FX35,2.5,2012,2013
INFINITI,QX80,1,2014,2014
INFINITI,QX80,1.5,2015,2017
INFINITI,QX80,1.75,2018,2023
INFINITI,Q50,1,2014,2018
INFINITI,Q50,1.5,2019,2023
TOYOTA,RAV4,1,1996,1997
TOYOTA,RAV4,1.5,1998,2000
TOYOTA,RAV4,2,2001,2003
TOYOTA,RAV4,2.5,2004,2005
TOYOTA,RAV4,3,2006,2008
TOYOTA,RAV4,3.5,2009,2012
TOYOTA,RAV4,4,2013,2015
TOYOTA,RAV4,4.5,2016,2018
TOYOTA,RAV4,5,2019,2023
TOYOTA,PRIUS,2,2004,2005
TOYOTA,PRIUS,2.5,2006,2009
TOYOTA,PRIUS,3,2010,2011
TOYOTA,PRIUS,3.5,2012,2015
TOYOTA,PRIUS,4,2016,2018
TOYOTA,PRIUS,4.5,2019,2022
TOYOTA,PRIUS,5,2023,2023
TOYOTA,Sienna,1,1998,2000
TOYOTA,Sienna,1.5,2001,2003
TOYOTA,Sienna,2,2004,2005
TOYOTA,Sienna,2.5,2006,2010
TOYOTA,Sienna,3,2011,2014
TOYOTA,Sienna,3.5,2015,2017
TOYOTA,Sienna,3.75,2018,2020
TOYOTA,Sienna,4,2021,2023
CHEVROLET,Uplander,1,2005,2008
BMW,X6,1,2008,2012
BMW,X6,1.5,2013,2014
BMW,X6,2,2015,2019
BMW,X6,3,2020,2023
BMW,X6,3.5,2024,2024
BMW,X5,1,2000,2003
BMW,X5,1.5,2004,2006
BMW,X5,2,2007,2010
BMW,X5,2.5,2011,2013
BMW,X5,3,2014,2018
BMW,X5,4,2019,2023
BMW,X5,4.5,2024,2024
BMW,X3,1,2004,2006
BMW,X3,1.5,2007,2010
BMW,X3,2,2011,2013
BMW,X3,2.5,2014,2017
BMW,X3,3,2018,2021
BMW,X3,3.5,2022,2023
MAZDA,Mazda6,1,2003,2005
MAZDA,Mazda6,1.5,2006,2008
MAZDA,Mazda6,2,2009,2013
MAZDA,Mazda6,3,2014,2017
MAZDA,Mazda6,3.5,2018,2023
KIA,Forte,1,2010,2013
KIA,Forte,2,2014,2016
KIA,Forte,2.5,2017,2018
KIA,Forte,3,2019,2021
KIA,Forte,3.5,2022,2023
KIA,Rio,1,2001,2002
KIA,Rio,1.5,2003,2005
KIA,Rio,2,2006,2009
KIA,Rio,2.5,2010,2011
KIA,Rio,3,2012,2015
KIA,Rio,3.5,2016,2017
KIA,Rio,4,2018,2020
KIA,Rio,4.5,2021,2023
KIA,Optima,1,2001,2003
KIA,Optima,1.5,2004,2006
KIA,Optima,2,2007,2008
KIA,Optima,2.5,2009,2010
KIA,Optima,3,2011,2013
KIA,Optima,3.5,2014,2015
KIA,Optima,4,2016,2018
KIA,Optima,4.5,2019,2020
AUDI,A4,1,1997,1998
AUDI,A4,1.5,1999,2001
AUDI,A4,2,2002,2005
AUDI,A4,3,2006,2008
AUDI,A4,4,2009,2012
AUDI,A4,4.5,2013,2016
AUDI,A4,5,2017,2019
AUDI,A4,5.5,2020,2023
AUDI,A6,1,1996,1997
AUDI,A6,2,1998,2001
AUDI,A6,2.5,2002,2004
AUDI,A6,3,2005,2008
AUDI,A6,3.5,2009,2011
AUDI,A6,4,2012,2015
AUDI,A6,4.5,2016,2018
AUDI,A6,5,2019,2023
AUDI,S5,1,2008,2012
AUDI,S5,1.5,2013,2017
AUDI,S5,2,2018,2019
AUDI,S5,2.5,2020,2023
AUDI,TT,1,2000,2002
AUDI,TT,1.5,2003,2006
AUDI,TT,2,2008,2010
AUDI,TT,2.5,2011,2015
AUDI,TT,3,2016,2018
AUDI,TT,3.5,2019,2023
AUDI,RS3,3,2017,2020
AUDI,RS3,4,2022,2023
AUDI,Q5,1,2009,2012
AUDI,Q5,1.5,2013,2017
AUDI,Q5,2,2018,2020
AUDI,Q5,2.5,2021,2023
MERCEDES-BENZ,Sprinter,2,2010,2013
MERCEDES-BENZ,Sprinter,2.5,2014,2018
MERCEDES-BENZ,Sprinter,3,2019,2023
MERCEDES-BENZ,C-Class,1,1994,1997
MERCEDES-BENZ,C-Class,1.5,1998,2000
MERCEDES-BENZ,C-Class,2,2001,2004
MERCEDES-BENZ,C-Class,2.5,2005,2007
MERCEDES-BENZ,C-Class,3,2008,2011
MERCEDES-BENZ,C-Class,3.5,2012,2014
MERCEDES-BENZ,C-Class,4,2015,2018
MERCEDES-BENZ,C-Class,4.5,2019,2021
MERCEDES-BENZ,C-Class,5,2022,2023
MERCEDES-BENZ,E-Class,1,1994,1995
MERCEDES-BENZ,E-Class,2,1996,1999
MERCEDES-BENZ,E-Class,2.5,2000,2002
MERCEDES-BENZ,E-Class,3,2003,2006
MERCEDES-BENZ,E-Class,3.5,2007,2009
MERCEDES-BENZ,E-Class,4,2010,2013
MERCEDES-BENZ,E-Class,4.5,2014,2016
MERCEDES-BENZ,E-Class,5,2017,2020
MERCEDES-BENZ,E-Class,5.5,2021,2023
MERCEDES-BENZ,CLA-Class,1,2014,2016
MERCEDES-BENZ,CLA-Class,1.5,2017,2019
MERCEDES-BENZ,CLA-Class,2,2020,2023
MERCEDES-BENZ,CLA-Class,2.5,2024,2024
MERCEDES-BENZ,GLC-Class,1,2016,2019
MERCEDES-BENZ,GLC-Class,1.5,2020,2022
MERCEDES-BENZ,GLC-Class,2,2023,2023
MERCEDES-BENZ,GL-Class,1,2007,2008
MERCEDES-BENZ,GL-Class,1.5,2009,2010
MERCEDES-BENZ,GL-Class,1.75,2011,2012
MERCEDES-BENZ,GL-Class,2,2013,2016
RAM,Promaster 2500,3,2014,2018
RAM,Promaster 2500,3.5,2019,2022
RAM,Promaster 2500,3.75,2023,2023
RAM,Promaster 1500,3,2014,2018
RAM,Promaster 1500,3.5,2019,2022
RAM,Promaster 1500,3.75,2023,2023
RAM,1500,4,2011,2012
RAM,1500,4.5,2013,2018
RAM,1500,5,2019,2023
NISSAN,Frontier,1,1998,2000
NISSAN,Frontier,1.5,2001,2004
NISSAN,Frontier,2,2005,2008
NISSAN,Frontier,2.5,2009,2021
NISSAN,Frontier,3,2022,2023
NISSAN,Sentra,1,1982,1986
NISSAN,Sentra,2,1987,1990
NISSAN,Sentra,3,1991,1995
NISSAN,Sentra,4,1996,1998
NISSAN,Sentra,4.5,1999,1999
NISSAN,Sentra,5,2000,2003
NISSAN,Sentra,5.5,2004,2006
NISSAN,Sentra,6,2007,2009
NISSAN,Sentra,6.5,2010,2012
NISSAN,Sentra,7,2013,2015
NISSAN,Sentra,7.5,2016,2019
NISSAN,Sentra,8,2020,2023
NISSAN,Altima,1,1993,1997
NISSAN,Altima,2,1998,2001
NISSAN,Altima,3,2002,2004
NISSAN,Altima,3.5,2005,2006
NISSAN,Altima,4,2007,2009
NISSAN,Altima,4.5,2010,2012
NISSAN,Altima,5,2013,2015
NISSAN,Altima,5.5,2016,2018
NISSAN,Altima,6,2019,2022
NISSAN,Altima,6.5,2023,2023
NISSAN,Pathfinder,1,1985,1995
NISSAN,Pathfinder,2,1996,1999
NISSAN,Pathfinder,2.5,2000,2004
NISSAN,Pathfinder,3,2005,2007
NISSAN,Pathfinder,3.5,2008,2012
NISSAN,Pathfinder,4,2013,2016
NISSAN,Pathfinder,4.5,2017,2020
NISSAN,Pathfinder,5,2022,2023
NISSAN,Versa,1,2007,2009
NISSAN,Versa,1.5,2010,2011
NISSAN,Versa,2,2012,2014
NISSAN,Versa,2.5,2015,2019
NISSAN,Versa,3,2020,2022
NISSAN,Versa,3.5,2023,2023
NISSAN,Juke,1,2011,2014
NISSAN,Juke,1.5,2015,2017
NISSAN,240SX,1,1989,1994
NISSAN,240SX,2,1995,1998
LAND ROVER,Discovery,1,1994,1999
LAND ROVER,Discovery,1.5,2000,2004
LAND ROVER,Discovery,3,2017,2020
LAND ROVER,Discovery,3.5,2021,2023
LAND ROVER,LR2,1,2008,2010
LAND ROVER,LR2,1.5,2011,2012
LAND ROVER,LR2,1.75,2013,2015
LAND ROVER,LR4,2,2010,2013
LAND ROVER,LR4,2.5,2014,2016
LAND ROVER,Range Rover,1,1987,1995
LAND ROVER,Range Rover,2,1996,2002
LAND ROVER,Range Rover,3,2003,2009
LAND ROVER,Range Rover,3.5,2010,2012
LAND ROVER,Range Rover,4,2013,2017
LAND ROVER,Range Rover,4.5,2018,2022
LAND ROVER,Range Rover Velar,1,2018,2023
LAND ROVER,Range Rover Evoque,1,2012,2015
LAND ROVER,Range Rover Evoque,1.5,2016,2019
LAND ROVER,Range Rover Evoque,2,2020,2023
LAND ROVER,Range Rover Sport,1,2006,2009
LAND ROVER,Range Rover Sport,1.5,2010,2013
LAND ROVER,Range Rover Sport,2,2014,2017
LAND ROVER,Range Rover Sport,2.5,2018,2022
LAND ROVER,Range Rover Sport,3,2023,2023
LAND ROVER,Discovery Sport,1,2015,2019
LAND ROVER,Discovery Sport,1.5,2020,2023
VOLKSWAGEN,Eos,1,2007,2011
VOLKSWAGEN,Eos,1.5,2012,2016
VOLKSWAGEN,Touareg,1,2004,2007
VOLKSWAGEN,Touareg,1.5,2008,2010
VOLKSWAGEN,Touareg,2,2011,2014
VOLKSWAGEN,Touareg,2.5,2015,2017
VOLKSWAGEN,Jetta,1,1980,1984
VOLKSWAGEN,Jetta,2,1985,1991
VOLKSWAGEN,Jetta,3,1993,1999
VOLKSWAGEN,Jetta,4,2000,2005
VOLKSWAGEN,Jetta,5,2006,2010
VOLKSWAGEN,Jetta,6,2011,2014
VOLKSWAGEN,Jetta,6.5,2015,2018
VOLKSWAGEN,Jetta,7,2019,2023
VOLKSWAGEN,Tiguan,1,2009,2011
VOLKSWAGEN,Tiguan,1.5,2012,2017
VOLKSWAGEN,Tiguan,2,2018,2021
VOLKSWAGEN,Tiguan,2.5,2022,2023
VOLKSWAGEN,Routan,1,2009,2014
CHRYSLER,Aspen,2,2007,2009
CHRYSLER,Pacifica,1,2017,2020
CHRYSLER,Pacifica,1.5,2021,2023
CHRYSLER,300,1,2005,2007
CHRYSLER,300,1.5,2008,2010
CHRYSLER,300,2,2011,2014
CHRYSLER,300,2.5,2015,2023
LEXUS,RX,1,1999,2000
LEXUS,RX,1.5,2001,2003
LEXUS,RX,2,2004,2007
LEXUS,RX,2.5,2008,2009
LEXUS,RX,3,2010,2012
LEXUS,RX,3.5,2013,2015
LEXUS,RX,4,2016,2019
LEXUS,RX,4.5,2020,2022
LEXUS,RX,5,2023,2023
LEXUS,GS,1,1993,1997
LEXUS,GS,2,1998,2005
LEXUS,GS,3,2006,2011
LEXUS,GS,4,2013,2015
LEXUS,GS,4.5,2016,2020
LEXUS,GX,1,2003,2009
LEXUS,GX,2,2010,2013
LEXUS,GX,2.5,2014,2019
LEXUS,GX,2.75,2020,2023
VOLVO,S40,1,2000,2003
VOLVO,S40,2,2004,2007
VOLVO,S40,2.5,2008,2011
VOLVO,S60,1,2001,2004
VOLVO,S60,1.5,2005,2009
VOLVO,S60,2,2011,2013
VOLVO,S60,2.5,2014,2018
VOLVO,S60,3,2019,2023
VOLVO,S80,1,1999,2003
VOLVO,S80,1.5,2004,2006
VOLVO,S80,2,2007,2009
VOLVO,S80,2.5,2010,2013
VOLVO,S80,2.75,2014,2016
VOLVO,V70,1,1998,2000
VOLVO,V70,2,2001,2004
VOLVO,V70,2.5,2005,2007
VOLVO,V70,3,2008,2010
VOLVO,XC90,1,2003,2006
VOLVO,XC90,1.5,2007,2014
VOLVO,XC90,2,2016,2019
VOLVO,XC90,2.5,2020,2023
FIAT,500,2,2012,2015
FIAT,500,2.5,2016,2019
GMC,Acadia,1,2007,2012
GMC,Acadia,1.5,2013,2016
GMC,Acadia,2,2017,2019
GMC,Acadia,2,2020,2023
GMC,Yukon,1,1992,1999
GMC,Yukon,2,2000,2006
GMC,Yukon,3,2007,2014
GMC,Yukon,4,2015,2020
GMC,Yukon,5,2021,2023
GMC,Savana,1,1996,2002
GMC,Savana,1.5,2003,2023
LINCOLN,MKZ,1,2007,2009
LINCOLN,MKZ,1.5,2010,2012
LINCOLN,MKZ,2,2013,2016
LINCOLN,MKZ,2.5,2017,2020
MINI,Countryman,1,2011,2014
MINI,Countryman,1.5,2015,2016
MINI,Countryman,2,2017,2020
MINI,Countryman,2.5,2021,2023
MINI,Hardtop,1,2002,2004
MINI,Hardtop,1.5,2005,2006
MINI,Hardtop,2,2007,2010
MINI,Hardtop,2.5,2011,2013
MINI,Hardtop,3,2014,2018
MINI,Hardtop,3.5,2019,2021
MINI,Hardtop,3.75,2022,2023
BUICK,Verano,1,2012,2017
SMART,Fortwo,1,1998,2002
SMART,Fortwo,1.5,2002,2006
SMART,Fortwo,2,2007,2013
SMART,Fortwo,2,2014,2018
SMART,Fortwo,2.5,2019,2023
